Mode Used: BANG_BANG_MENU
Parameters Used: {"baseSpeed":250,"turnSpeedMultiplier":0.25,"bangBangThreshold":0.65,"sensorPeriod":0.0001,"controlPeriod":0.0001,"motorRegulatePeriod":0.1,"motorKp":0.01,"motorKi":0.01,"debugFlag":1}


--- MOTOR_LEFT Debug Data ---
Timestamp, distance, speed, target_speed, error, adjustment, persistent_error, newSpeed, originalSpeed
"78",17.95863,-9.96094,0,9.96094,0.00139,-0.05906,-0.08311,-0.02823
"128",17.95432,-7.03125,0,7.03125,0.00098,-0.05292,-0.07822,-0.02823
"178",17.95097,-9.96094,0,9.96094,0.0014,-0.0472,-0.07123,-0.02823
"228",17.95121,-8.20312,0,8.20312,0.00115,-0.0407,-0.06548,-0.02823
"278",17.95121,-0.58594,0,0.58594,0.00007,-0.03712,-0.06514,-0.02823
"328",17.95121,0.58594,0,-0.58594,-0.0001,-0.03711,-0.06564,-0.02823
"378",17.95121,0,0,0,-0.00002,-0.03744,-0.06572,-0.02823
"428",17.95121,0,0,0,-0.00002,-0.03752,-0.0658,-0.02823
"478",17.95121,0,0,0,-0.00002,-0.0376,-0.06588,-0.02823
"528",17.95121,0,0,0,-0.00002,-0.03768,-0.06596,-0.02823
"578",17.95121,0,0,0,-0.00002,-0.03776,-0.06604,-0.02823
"628",17.95121,0,0,0,-0.00002,-0.03784,-0.06612,-0.02823
"678",17.95121,0,0,0,-0.00002,-0.03793,-0.0662,-0.02823
"728",17.95121,0,0,0,-0.00002,-0.03801,-0.06628,-0.02823
"778",17.95121,0,0,0,-0.00002,-0.03809,-0.06636,-0.02823
"828",17.95121,0,0,0,-0.00002,-0.03817,-0.06645,-0.02823
"878",17.95121,0,0,0,-0.00002,-0.03825,-0.06653,-0.02823
"928",17.95121,0,0,0,-0.00002,-0.03833,-0.06661,-0.02823
"978",17.95121,0,0,0,-0.00002,-0.03841,-0.06669,-0.02823
"1030",17.95121,0,0,0,-0.00002,-0.0385,-0.06677,-0.02823
"1080",17.95121,0,0,0,-0.00002,-0.03858,-0.06686,-0.02823
"1130",17.95121,0,0,0,-0.00002,-0.03866,-0.06694,-0.02823
"1180",17.95121,0,0,0,-0.00002,-0.03874,-0.06702,-0.02823
"1230",17.95121,0,0,0,-0.00002,-0.03883,-0.0671,-0.02823
"1280",17.95121,0,0,0,-0.00002,-0.03891,-0.06719,-0.02823
"1330",17.95121,0,0,0,-0.00002,-0.03899,-0.06727,-0.02823
"1380",17.95121,0,0,0,-0.00002,-0.03908,-0.06735,-0.02823
"1430",17.95121,0,0,0,-0.00002,-0.03916,-0.06744,-0.02823
"1480",17.95121,0,0,0,-0.00002,-0.03924,-0.06752,-0.02823
"1530",17.95121,0,0,0,-0.00002,-0.03933,-0.0676,-0.02823
"1580",17.95121,0,0,0,-0.00002,-0.03941,-0.06769,-0.02823
"1630",17.95121,0,0,0,-0.00002,-0.0395,-0.06777,-0.02823
"1680",17.95121,0,0,0,-0.00002,-0.03958,-0.06786,-0.02823
"1730",17.95121,0,0,0,-0.00002,-0.03966,-0.06794,-0.02823
"1780",17.95121,0,0,0,-0.00002,-0.03975,-0.06803,-0.02823
